county,district,date,open_stores7eleven,open_storesfamilymart,open_storeshilife,open_storesOK,open_storespxmart,open_storescarrefour,open_storesrtmart,open_storessimplemart,open_storescpc
臺南市,安平區,2018-08-01,22.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0
臺南市,安平區,2018-09-01,22.0,9.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0
臺南市,安平區,2018-10-01,22.0,9.0,2.0,0.0,3.0,0.0,0.0,1.0,5.0
臺南市,安平區,2018-11-01,22.0,9.0,2.0,0.0,3.0,0.0,0.0,1.0,5.0
臺南市,安平區,2018-12-01,22.0,9.0,2.0,0.0,3.0,0.0,0.0,1.0,5.0
臺南市,官田區,2018-01-01,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-02-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-03-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-04-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-05-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-06-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-07-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-08-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-09-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-10-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-11-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,官田區,2018-12-01,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
臺南市,將軍區,2018-01-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-02-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-03-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-04-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-05-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-06-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-07-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-08-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-09-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-10-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-11-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,將軍區,2018-12-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
臺南市,山上區,2018-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,山上區,2018-02-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,山上區,2018-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
